job_interval,start_minutes,end_minutes,priority
JOB_00453,24,49,2
JOB_03046,41,52,2
JOB_02210,54,94,1
JOB_00557,58,81,3
JOB_02571,171,195,2
JOB_02970,184,206,1
JOB_01493,185,214,2
JOB_02605,186,200,2
JOB_01791,198,208,2
JOB_02468,207,213,3
JOB_00986,211,239,2
JOB_03184,237,245,1
JOB_00070,255,265,3
JOB_01326,269,279,2
JOB_00637,304,311,2
JOB_03325,351,362,2
JOB_03084,391,412,2
JOB_00145,416,437,1
JOB_02149,505,524,3
JOB_02245,508,517,2
JOB_03232,604,617,2
JOB_03043,622,630,2
JOB_02552,625,631,2
JOB_01395,676,688,2
JOB_01764,765,783,2
JOB_00352,818,834,1
JOB_00665,825,847,2
JOB_00775,835,848,2
JOB_01548,870,875,1
JOB_02553,873,904,2
JOB_02524,874,880,2
JOB_00312,879,908,1
JOB_02765,895,933,1
JOB_00448,900,914,3
JOB_02573,952,964,3
JOB_02655,978,984,3
JOB_01004,979,1001,1
JOB_01690,990,1003,1
JOB_03127,996,1016,2
JOB_01179,1009,1030,1
JOB_00794,1069,1088,2
JOB_02083,1080,1105,2
JOB_01582,1111,1123,1
JOB_01969,1112,1130,2
JOB_02771,1126,1156,2
JOB_01759,1136,1151,2
JOB_02106,1221,1237,1
JOB_01015,1272,1290,2
JOB_03362,1280,1292,2
JOB_00287,1345,1366,1
JOB_01169,1348,1375,3
JOB_00987,1395,1411,2
JOB_01795,1422,11,3
