job_interval,start_minutes,end_minutes,priority
JOB_00602,58,87,2
JOB_00197,81,94,2
JOB_01164,153,161,3
JOB_02169,212,218,1
JOB_00560,229,245,2
JOB_00328,287,303,2
JOB_01232,344,348,2
JOB_01056,357,372,1
JOB_01563,379,400,1
JOB_02965,397,437,3
JOB_00176,427,435,1
JOB_03008,458,474,2
JOB_00454,466,497,2
JOB_02780,686,700,2
JOB_03407,687,727,2
JOB_02133,690,703,1
JOB_00656,728,737,2
JOB_00734,781,791,2
JOB_01732,801,813,3
JOB_03233,839,848,2
JOB_00036,852,875,2
JOB_03255,867,889,2
JOB_03474,891,912,1
JOB_02863,898,914,2
JOB_00252,948,961,2
JOB_01796,1010,1025,1
JOB_01805,1022,1034,2
JOB_00422,1032,1049,2
JOB_01391,1068,1087,2
JOB_02562,1072,1085,1
JOB_03241,1204,1228,2
JOB_02813,1215,1226,2
JOB_00398,1227,1231,3
JOB_01358,1232,1240,2
JOB_03307,1241,1253,2
JOB_00466,1268,1281,3
JOB_00910,1338,1354,1
