job_interval,start_minutes,end_minutes,priority
JOB_02427,72,80,2
JOB_02949,94,116,3
JOB_00108,135,139,2
JOB_01328,157,182,2
JOB_03305,161,188,2
JOB_01911,166,189,3
JOB_03053,201,207,3
JOB_00358,258,267,1
JOB_01919,262,282,1
JOB_00351,295,309,3
JOB_02296,319,344,3
JOB_03107,359,377,3
JOB_02956,372,383,1
JOB_00206,400,405,2
JOB_00344,472,496,2
JOB_00325,494,510,1
JOB_03227,505,518,1
JOB_00256,521,534,1
JOB_02794,563,578,1
JOB_01087,621,636,1
JOB_02493,659,679,1
JOB_01677,669,698,3
JOB_01039,697,723,3
JOB_02976,705,723,1
JOB_03246,729,746,2
JOB_01535,741,770,1
JOB_00292,753,764,1
JOB_01608,776,816,1
JOB_00348,791,804,2
JOB_03074,798,808,2
JOB_02929,900,910,2
JOB_01943,917,932,2
JOB_02881,949,973,1
JOB_02686,966,995,1
JOB_00724,969,982,2
JOB_02155,1037,1060,3
JOB_02223,1073,1084,3
JOB_01484,1091,1102,2
JOB_03453,1100,1115,2
JOB_00153,1127,1147,1
JOB_01589,1132,1155,2
JOB_02974,1162,1175,2
JOB_00244,1201,1225,1
JOB_00717,1224,1254,3
JOB_02370,1319,1338,2
JOB_01008,1366,1399,1
JOB_01622,1413,1439,1
JOB_02399,1420,1433,2
