job_interval,start_minutes,end_minutes,priority
JOB_01421,55,90,2
JOB_03038,86,95,2
JOB_03229,119,134,1
JOB_02311,250,255,2
JOB_01305,392,412,2
JOB_00472,403,428,1
JOB_02806,446,455,3
JOB_02239,483,502,2
JOB_01155,491,509,2
JOB_03549,502,538,1
JOB_02226,535,562,1
JOB_01270,536,554,1
JOB_01494,559,578,2
JOB_02802,572,591,2
JOB_02812,593,611,1
JOB_01918,611,612,2
JOB_02035,629,640,2
JOB_00542,698,711,3
JOB_02123,705,712,3
JOB_00512,762,777,2
JOB_02606,783,790,1
JOB_01952,813,825,1
JOB_01418,850,862,3
JOB_03133,868,899,2
JOB_00373,897,919,2
JOB_01108,909,918,2
JOB_00482,918,944,2
JOB_01124,955,968,2
JOB_02604,957,970,2
JOB_00800,964,1000,2
JOB_01933,1061,1071,2
JOB_00849,1069,1076,3
JOB_02465,1088,1107,1
JOB_00479,1165,1178,1
JOB_02231,1173,1189,1
JOB_02741,1200,1207,2
JOB_01822,1225,1256,3
JOB_02289,1234,1262,3
JOB_03318,1260,1276,2
JOB_01600,1367,1407,3
JOB_00054,1376,1414,3
JOB_02190,1390,1398,1
JOB_01259,1408,1432,2
JOB_02050,1413,1423,2
JOB_02229,1427,12,2
