job_interval,start_minutes,end_minutes,priority
JOB_02875,67,75,2
JOB_00161,70,98,1
JOB_03259,121,145,2
JOB_00996,171,184,2
JOB_03433,183,199,1
JOB_00859,220,224,3
JOB_01197,360,379,2
JOB_01459,390,401,2
JOB_02839,409,426,2
JOB_00981,419,444,2
JOB_00315,496,527,3
JOB_01574,514,522,2
JOB_03146,576,588,2
JOB_01280,578,586,1
JOB_03032,617,640,1
JOB_03335,619,639,1
JOB_03254,625,645,3
JOB_01579,632,652,2
JOB_03189,694,744,2
JOB_02196,695,703,2
JOB_02160,719,730,2
JOB_02635,745,750,2
JOB_03260,757,795,2
JOB_03266,809,824,2
JOB_00927,827,843,1
JOB_02017,951,956,1
JOB_01824,1021,1033,2
JOB_02672,1045,1070,3
JOB_02135,1053,1071,2
JOB_00791,1101,1120,2
JOB_00201,1115,1130,2
JOB_00730,1122,1131,3
JOB_02187,1227,1259,1
JOB_00805,1233,1259,3
JOB_01120,1285,1299,2
JOB_01838,1297,1326,1
JOB_00246,1322,1362,2
JOB_01547,1362,1400,1
JOB_02962,1414,4,3
JOB_01387,1439,20,1
