job_interval,start_minutes,end_minutes,priority
JOB_03010,103,121,3
JOB_02543,162,171,3
JOB_00521,228,246,2
JOB_00636,329,360,2
JOB_00499,374,396,2
JOB_01477,403,438,1
JOB_00003,406,410,2
JOB_00829,494,503,3
JOB_01572,504,511,3
JOB_01114,515,530,1
JOB_02339,525,537,2
JOB_01719,564,574,1
JOB_03424,566,573,2
JOB_02389,569,586,3
JOB_00024,601,620,2
JOB_02646,619,629,2
JOB_02104,620,633,1
JOB_03516,653,687,2
JOB_00763,657,684,1
JOB_00768,675,705,1
JOB_00536,741,780,3
JOB_02115,821,839,2
JOB_02466,844,870,3
JOB_00896,885,918,3
JOB_01189,905,934,2
JOB_01724,920,942,1
JOB_01325,923,933,2
JOB_00751,928,956,3
JOB_03373,1010,1047,1
JOB_00018,1026,1033,2
JOB_02478,1095,1099,1
JOB_01742,1144,1169,1
JOB_00802,1189,1205,2
JOB_02306,1202,1228,2
JOB_01607,1207,1236,2
JOB_00259,1238,1259,2
JOB_02667,1262,1274,1
JOB_03298,1273,1299,2
JOB_02979,1286,1303,3
JOB_00017,1288,1314,1
JOB_00110,1335,1363,3
JOB_03028,1347,1350,1
JOB_02320,1373,1380,2
JOB_01063,1399,1418,1
JOB_01521,1411,1420,1
JOB_03332,1436,15,2
