appointment_id,start_minutes,end_minutes,priority
176,480,522,33
246,523,550,45
225,551,559,61
122,560,564,67
168,565,601,44
22,602,607,42
183,608,619,80
236,620,634,33
103,635,654,66
131,655,669,88
177,670,695,65
214,696,706,34
97,707,731,37
128,732,746,53
40,747,760,67
30,761,782,69
243,791,821,38
18,822,831,27
189,832,841,44
73,842,856,79
224,857,887,40
99,888,907,56
262,908,954,77
248,955,997,51
221,998,1006,79
264,1007,1024,76
75,1025,1027,70
158,1028,1066,44
59,1067,1071,44
25,1071,1086,81
32,1087,1092,50
229,1093,1104,27
250,1105,1126,76
