appointment_id,start_minutes,end_minutes,priority
108,483,486,65
218,502,518,45
106,519,536,40
94,540,563,90
125,564,570,83
212,571,590,25
31,591,624,78
17,626,636,55
150,637,654,37
211,655,662,59
39,663,671,90
114,672,676,53
45,677,684,51
188,685,707,45
57,715,737,15
51,738,768,87
239,769,785,71
7,786,791,32
142,792,793,58
130,794,795,90
21,817,823,77
233,840,869,37
180,870,878,51
197,879,883,28
191,900,927,33
129,928,935,66
144,936,940,36
203,941,943,90
222,944,963,64
235,972,993,34
77,994,1011,59
148,1012,1020,58
206,1021,1054,63
116,1055,1061,70
41,1062,1072,50
141,1073,1082,27
