appointment_id,start_minutes,end_minutes,priority
171,486,506,88
220,550,578,57
215,579,592,80
271,593,618,23
317,619,631,19
161,632,652,16
325,653,677,19
350,679,686,65
353,687,695,34
366,696,710,65
240,711,732,66
375,732,737,32
153,754,767,43
346,777,795,55
10,796,804,50
291,805,825,68
326,835,857,68
238,861,871,70
121,877,904,44
213,905,920,59
5,921,932,43
219,933,947,32
113,948,951,31
160,953,955,33
281,963,988,56
52,989,1012,43
156,1013,1030,73
190,1031,1035,39
274,1036,1078,90
273,1079,1091,42
