appointment_id,start_minutes,end_minutes,priority
395,481,497,49
301,521,534,66
166,535,550,32
279,551,587,83
369,588,602,17
185,603,625,76
199,627,648,26
324,649,661,31
137,662,664,88
234,665,682,38
38,683,717,61
314,718,735,75
408,736,739,19
195,740,767,61
12,768,794,85
372,795,809,65
412,810,837,49
64,838,860,65
300,861,873,79
256,874,899,37
159,900,905,49
334,906,917,71
170,918,928,53
226,929,965,68
231,966,969,88
255,970,988,55
320,989,1001,78
65,1002,1032,35
404,1033,1064,56
209,1065,1080,48
378,1081,1084,51
60,1085,1087,21
61,1088,1091,75
373,1093,1116,60
305,1117,1149,39
27,1149,1181,78
200,1182,1199,87
