job_interval,start_time,end_time,start_minutes,end_minutes,priority
JOB_00453,2024-01-05 00:24:52,2024-01-05 00:49:28,24,49,2
JOB_03046,2024-01-05 00:41:00,2024-01-05 00:52:09,41,52,2
JOB_02210,2024-01-05 00:54:06,2024-01-05 01:34:30,54,94,1
JOB_00557,2024-01-05 00:58:10,2024-01-05 01:21:28,58,81,3
JOB_02571,2024-01-05 02:51:20,2024-01-05 03:15:35,171,195,2
JOB_02970,2024-01-05 03:04:30,2024-01-05 03:26:00,184,206,1
JOB_01493,2024-01-05 03:05:45,2024-01-05 03:34:00,185,214,2
JOB_02605,2024-01-05 03:06:51,2024-01-05 03:20:29,186,200,2
JOB_01791,2024-01-05 03:18:58,2024-01-05 03:28:41,198,208,2
JOB_02468,2024-01-05 03:27:06,2024-01-05 03:33:44,207,213,3
JOB_00986,2024-01-05 03:31:10,2024-01-05 03:59:33,211,239,2
JOB_03184,2024-01-05 03:57:01,2024-01-05 04:05:35,237,245,1
JOB_00070,2024-01-05 04:15:49,2024-01-05 04:25:27,255,265,3
JOB_01326,2024-01-05 04:29:31,2024-01-05 04:39:27,269,279,2
JOB_00637,2024-01-05 05:04:11,2024-01-05 05:11:41,304,311,2
JOB_03325,2024-01-05 05:51:16,2024-01-05 06:02:02,351,362,2
JOB_03084,2024-01-05 06:31:08,2024-01-05 06:52:14,391,412,2
JOB_00145,2024-01-05 06:56:31,2024-01-05 07:17:54,416,437,1
JOB_02149,2024-01-05 08:25:19,2024-01-05 08:44:18,505,524,3
JOB_02245,2024-01-05 08:28:57,2024-01-05 08:37:59,508,517,2
JOB_03232,2024-01-05 10:04:42,2024-01-05 10:17:24,604,617,2
JOB_03043,2024-01-05 10:22:53,2024-01-05 10:30:30,622,630,2
JOB_02552,2024-01-05 10:25:41,2024-01-05 10:31:55,625,631,2
JOB_01395,2024-01-05 11:16:45,2024-01-05 11:28:37,676,688,2
JOB_01764,2024-01-05 12:45:53,2024-01-05 13:03:54,765,783,2
JOB_00352,2024-01-05 13:38:33,2024-01-05 13:54:42,818,834,1
JOB_00665,2024-01-05 13:45:56,2024-01-05 14:07:51,825,847,2
JOB_00775,2024-01-05 13:55:37,2024-01-05 14:08:48,835,848,2
JOB_01548,2024-01-05 14:30:17,2024-01-05 14:35:51,870,875,1
JOB_02553,2024-01-05 14:33:00,2024-01-05 15:04:46,873,904,2
JOB_02524,2024-01-05 14:34:44,2024-01-05 14:40:02,874,880,2
JOB_00312,2024-01-05 14:39:11,2024-01-05 15:08:38,879,908,1
JOB_02765,2024-01-05 14:55:02,2024-01-05 15:33:59,895,933,1
JOB_00448,2024-01-05 15:00:39,2024-01-05 15:14:56,900,914,3
JOB_02573,2024-01-05 15:52:00,2024-01-05 16:04:00,952,964,3
JOB_02655,2024-01-05 16:18:33,2024-01-05 16:24:47,978,984,3
JOB_01004,2024-01-05 16:19:52,2024-01-05 16:41:25,979,1001,1
JOB_01690,2024-01-05 16:30:45,2024-01-05 16:43:59,990,1003,1
JOB_03127,2024-01-05 16:36:04,2024-01-05 16:56:38,996,1016,2
JOB_01179,2024-01-05 16:49:30,2024-01-05 17:10:55,1009,1030,1
JOB_00794,2024-01-05 17:49:23,2024-01-05 18:08:57,1069,1088,2
JOB_02083,2024-01-05 18:00:57,2024-01-05 18:25:02,1080,1105,2
JOB_01582,2024-01-05 18:31:36,2024-01-05 18:43:51,1111,1123,1
JOB_01969,2024-01-05 18:32:42,2024-01-05 18:50:58,1112,1130,2
JOB_02771,2024-01-05 18:46:00,2024-01-05 19:16:42,1126,1156,2
JOB_01759,2024-01-05 18:56:15,2024-01-05 19:11:32,1136,1151,2
JOB_02106,2024-01-05 20:21:52,2024-01-05 20:37:24,1221,1237,1
JOB_01015,2024-01-05 21:12:18,2024-01-05 21:30:07,1272,1290,2
JOB_03362,2024-01-05 21:20:00,2024-01-05 21:32:42,1280,1292,2
JOB_00287,2024-01-05 22:25:15,2024-01-05 22:46:33,1345,1366,1
JOB_01169,2024-01-05 22:28:43,2024-01-05 22:55:11,1348,1375,3
JOB_00987,2024-01-05 23:15:04,2024-01-05 23:31:56,1395,1411,2
