job_interval,start_time,end_time,start_minutes,end_minutes,priority
JOB_01973,2024-01-07 00:02:17,2024-01-07 00:10:27,2,10,3
JOB_00114,2024-01-07 00:40:20,2024-01-07 00:50:20,40,50,2
JOB_01666,2024-01-07 02:44:37,2024-01-07 03:17:51,164,197,1
JOB_02313,2024-01-07 03:01:30,2024-01-07 03:08:33,181,188,2
JOB_03035,2024-01-07 03:03:40,2024-01-07 03:19:24,183,199,3
JOB_00258,2024-01-07 03:20:49,2024-01-07 03:27:33,200,207,2
JOB_02198,2024-01-07 03:43:00,2024-01-07 03:51:31,223,231,2
JOB_02181,2024-01-07 03:56:40,2024-01-07 04:04:41,236,244,1
JOB_00364,2024-01-07 04:34:27,2024-01-07 04:59:46,274,299,3
JOB_03238,2024-01-07 04:36:40,2024-01-07 04:43:16,276,283,2
JOB_01904,2024-01-07 05:13:46,2024-01-07 05:20:37,313,320,2
JOB_01307,2024-01-07 05:30:30,2024-01-07 05:42:20,330,342,2
JOB_00362,2024-01-07 05:48:05,2024-01-07 06:08:02,348,368,2
JOB_01554,2024-01-07 05:56:06,2024-01-07 06:10:01,356,370,2
JOB_00798,2024-01-07 06:02:13,2024-01-07 06:17:18,362,377,3
JOB_00410,2024-01-07 06:24:09,2024-01-07 06:41:14,384,401,2
JOB_00855,2024-01-07 06:43:52,2024-01-07 07:01:14,403,421,2
JOB_02977,2024-01-07 06:54:53,2024-01-07 07:37:36,414,457,2
JOB_03524,2024-01-07 07:11:57,2024-01-07 07:37:12,431,457,3
JOB_00213,2024-01-07 07:14:43,2024-01-07 07:34:37,434,454,2
JOB_00527,2024-01-07 07:43:53,2024-01-07 07:57:31,463,477,1
JOB_00069,2024-01-07 07:58:15,2024-01-07 08:26:57,478,506,1
JOB_01738,2024-01-07 08:09:52,2024-01-07 08:21:47,489,501,3
JOB_01226,2024-01-07 08:35:15,2024-01-07 08:54:04,515,534,1
JOB_00571,2024-01-07 08:52:31,2024-01-07 09:22:20,532,562,2
JOB_00261,2024-01-07 10:54:02,2024-01-07 11:09:21,654,669,1
JOB_00253,2024-01-07 11:08:10,2024-01-07 11:46:42,668,706,2
JOB_01070,2024-01-07 11:35:19,2024-01-07 11:57:23,695,717,2
JOB_00091,2024-01-07 12:03:50,2024-01-07 12:34:22,723,754,1
JOB_01086,2024-01-07 12:08:01,2024-01-07 12:12:56,728,732,2
JOB_01819,2024-01-07 13:31:33,2024-01-07 13:39:30,811,819,2
JOB_00397,2024-01-07 14:31:29,2024-01-07 14:43:29,871,883,3
JOB_03134,2024-01-07 15:03:43,2024-01-07 15:14:26,903,914,1
JOB_00641,2024-01-07 15:07:40,2024-01-07 15:22:35,907,922,3
JOB_02491,2024-01-07 15:31:43,2024-01-07 15:56:26,931,956,2
JOB_02969,2024-01-07 15:36:33,2024-01-07 16:05:34,936,965,2
JOB_00403,2024-01-07 16:11:47,2024-01-07 16:22:24,971,982,3
JOB_01617,2024-01-07 16:36:49,2024-01-07 16:44:19,996,1004,2
JOB_02580,2024-01-07 16:41:44,2024-01-07 17:01:41,1001,1021,2
JOB_03393,2024-01-07 16:43:44,2024-01-07 16:58:03,1003,1018,1
JOB_02409,2024-01-07 17:07:48,2024-01-07 17:25:31,1027,1045,1
JOB_01364,2024-01-07 17:29:49,2024-01-07 17:42:50,1049,1062,2
JOB_03538,2024-01-07 17:42:00,2024-01-07 18:02:16,1062,1082,1
JOB_02359,2024-01-07 17:48:32,2024-01-07 18:01:20,1068,1081,3
JOB_01011,2024-01-07 17:57:36,2024-01-07 18:13:59,1077,1093,2
JOB_02413,2024-01-07 18:08:42,2024-01-07 18:15:50,1088,1095,2
JOB_01914,2024-01-07 18:13:25,2024-01-07 18:44:25,1093,1124,2
JOB_03230,2024-01-07 18:26:10,2024-01-07 18:54:55,1106,1134,2
JOB_03326,2024-01-07 18:32:52,2024-01-07 18:52:01,1112,1132,2
JOB_01286,2024-01-07 19:29:19,2024-01-07 19:40:20,1169,1180,3
JOB_01054,2024-01-07 19:59:34,2024-01-07 20:19:08,1199,1219,2
JOB_02297,2024-01-07 19:59:21,2024-01-07 20:17:55,1199,1217,3
JOB_00468,2024-01-07 20:25:54,2024-01-07 21:04:31,1225,1264,2
JOB_01447,2024-01-07 20:36:59,2024-01-07 20:44:21,1236,1244,3
JOB_01884,2024-01-07 20:42:32,2024-01-07 20:49:29,1242,1249,3
JOB_00308,2024-01-07 20:44:15,2024-01-07 21:09:14,1244,1269,3
JOB_00837,2024-01-07 22:03:37,2024-01-07 22:19:25,1323,1339,3
JOB_03366,2024-01-07 22:10:34,2024-01-07 22:17:53,1330,1337,2
JOB_01861,2024-01-07 22:59:53,2024-01-07 23:13:47,1379,1393,1
JOB_01922,2024-01-07 23:43:32,2024-01-08 00:09:31,1423,9,1
