job_interval,start_time,end_time,start_minutes,end_minutes,priority
JOB_01421,2024-01-04 00:55:40,2024-01-04 01:30:56,55,90,2
JOB_03038,2024-01-04 01:26:19,2024-01-04 01:35:21,86,95,2
JOB_03229,2024-01-04 01:59:42,2024-01-04 02:14:44,119,134,1
JOB_02311,2024-01-04 04:10:27,2024-01-04 04:15:11,250,255,2
JOB_01305,2024-01-04 06:32:06,2024-01-04 06:52:57,392,412,2
JOB_00472,2024-01-04 06:43:12,2024-01-04 07:08:13,403,428,1
JOB_02806,2024-01-04 07:26:52,2024-01-04 07:35:17,446,455,3
JOB_02239,2024-01-04 08:03:04,2024-01-04 08:22:23,483,502,2
JOB_01155,2024-01-04 08:11:04,2024-01-04 08:29:05,491,509,2
JOB_03549,2024-01-04 08:22:52,2024-01-04 08:58:08,502,538,1
JOB_02226,2024-01-04 08:55:52,2024-01-04 09:22:34,535,562,1
JOB_01270,2024-01-04 08:56:15,2024-01-04 09:14:52,536,554,1
JOB_01494,2024-01-04 09:19:40,2024-01-04 09:38:32,559,578,2
JOB_02802,2024-01-04 09:32:08,2024-01-04 09:51:57,572,591,2
JOB_02812,2024-01-04 09:53:13,2024-01-04 10:11:24,593,611,1
JOB_01918,2024-01-04 10:11:00,2024-01-04 10:12:33,611,612,2
JOB_02035,2024-01-04 10:29:37,2024-01-04 10:40:35,629,640,2
JOB_00542,2024-01-04 11:38:51,2024-01-04 11:51:49,698,711,3
JOB_02123,2024-01-04 11:45:06,2024-01-04 11:52:52,705,712,3
JOB_00512,2024-01-04 12:42:33,2024-01-04 12:57:27,762,777,2
JOB_02606,2024-01-04 13:03:51,2024-01-04 13:10:35,783,790,1
JOB_01952,2024-01-04 13:33:02,2024-01-04 13:45:21,813,825,1
JOB_01418,2024-01-04 14:10:15,2024-01-04 14:22:16,850,862,3
JOB_03133,2024-01-04 14:28:23,2024-01-04 14:59:39,868,899,2
JOB_00373,2024-01-04 14:57:24,2024-01-04 15:19:41,897,919,2
JOB_01108,2024-01-04 15:09:12,2024-01-04 15:18:31,909,918,2
JOB_00482,2024-01-04 15:18:03,2024-01-04 15:44:40,918,944,2
JOB_01124,2024-01-04 15:55:01,2024-01-04 16:08:15,955,968,2
JOB_02604,2024-01-04 15:57:07,2024-01-04 16:10:04,957,970,2
JOB_00800,2024-01-04 16:04:31,2024-01-04 16:40:43,964,1000,2
JOB_01933,2024-01-04 17:41:09,2024-01-04 17:51:34,1061,1071,2
JOB_00849,2024-01-04 17:49:37,2024-01-04 17:56:38,1069,1076,3
JOB_02465,2024-01-04 18:08:20,2024-01-04 18:27:45,1088,1107,1
JOB_00479,2024-01-04 19:25:05,2024-01-04 19:38:46,1165,1178,1
JOB_02231,2024-01-04 19:33:24,2024-01-04 19:49:18,1173,1189,1
JOB_02741,2024-01-04 20:00:33,2024-01-04 20:07:04,1200,1207,2
JOB_01822,2024-01-04 20:25:21,2024-01-04 20:56:27,1225,1256,3
JOB_02289,2024-01-04 20:34:44,2024-01-04 21:02:48,1234,1262,3
JOB_03318,2024-01-04 21:00:57,2024-01-04 21:16:46,1260,1276,2
JOB_01600,2024-01-04 22:47:24,2024-01-04 23:27:23,1367,1407,3
JOB_00054,2024-01-04 22:56:55,2024-01-04 23:34:16,1376,1414,3
JOB_02190,2024-01-04 23:10:42,2024-01-04 23:18:42,1390,1398,1
JOB_01259,2024-01-04 23:28:47,2024-01-04 23:52:56,1408,1432,2
JOB_02050,2024-01-04 23:33:39,2024-01-04 23:43:49,1413,1423,2
JOB_02229,2024-01-04 23:47:18,2024-01-05 00:12:54,1427,12,2
