job_interval,start_time,end_time,start_minutes,end_minutes,priority
JOB_02875,2024-01-02 01:07:34,2024-01-02 01:15:45,67,75,2
JOB_00161,2024-01-02 01:10:24,2024-01-02 01:38:30,70,98,1
JOB_03259,2024-01-02 02:01:36,2024-01-02 02:25:11,121,145,2
JOB_00996,2024-01-02 02:51:35,2024-01-02 03:04:11,171,184,2
JOB_03433,2024-01-02 03:03:19,2024-01-02 03:19:43,183,199,1
JOB_00859,2024-01-02 03:40:16,2024-01-02 03:44:23,220,224,3
JOB_01197,2024-01-02 06:00:42,2024-01-02 06:19:52,360,379,2
JOB_01459,2024-01-02 06:30:11,2024-01-02 06:41:51,390,401,2
JOB_02839,2024-01-02 06:49:56,2024-01-02 07:06:25,409,426,2
JOB_00981,2024-01-02 06:59:35,2024-01-02 07:24:07,419,444,2
JOB_00315,2024-01-02 08:16:22,2024-01-02 08:47:00,496,527,3
JOB_01574,2024-01-02 08:34:46,2024-01-02 08:42:22,514,522,2
JOB_03146,2024-01-02 09:36:46,2024-01-02 09:48:11,576,588,2
JOB_01280,2024-01-02 09:38:27,2024-01-02 09:46:17,578,586,1
JOB_03032,2024-01-02 10:17:36,2024-01-02 10:40:41,617,640,1
JOB_03335,2024-01-02 10:19:39,2024-01-02 10:39:32,619,639,1
JOB_03254,2024-01-02 10:25:55,2024-01-02 10:45:26,625,645,3
JOB_01579,2024-01-02 10:32:13,2024-01-02 10:52:33,632,652,2
JOB_03189,2024-01-02 11:34:05,2024-01-02 12:24:52,694,744,2
JOB_02196,2024-01-02 11:35:31,2024-01-02 11:43:48,695,703,2
JOB_02160,2024-01-02 11:59:35,2024-01-02 12:10:09,719,730,2
JOB_02635,2024-01-02 12:25:33,2024-01-02 12:30:56,745,750,2
JOB_03260,2024-01-02 12:37:14,2024-01-02 13:15:51,757,795,2
JOB_03266,2024-01-02 13:29:54,2024-01-02 13:44:04,809,824,2
JOB_00927,2024-01-02 13:47:21,2024-01-02 14:03:35,827,843,1
JOB_02017,2024-01-02 15:51:57,2024-01-02 15:56:33,951,956,1
JOB_01824,2024-01-02 17:01:01,2024-01-02 17:13:02,1021,1033,2
JOB_02672,2024-01-02 17:25:59,2024-01-02 17:50:45,1045,1070,3
JOB_02135,2024-01-02 17:33:54,2024-01-02 17:51:06,1053,1071,2
JOB_00791,2024-01-02 18:21:09,2024-01-02 18:40:35,1101,1120,2
JOB_00201,2024-01-02 18:35:26,2024-01-02 18:50:10,1115,1130,2
JOB_00730,2024-01-02 18:42:49,2024-01-02 18:51:28,1122,1131,3
JOB_02187,2024-01-02 20:27:26,2024-01-02 20:59:49,1227,1259,1
JOB_00805,2024-01-02 20:33:01,2024-01-02 20:59:56,1233,1259,3
JOB_01120,2024-01-02 21:25:58,2024-01-02 21:39:27,1285,1299,2
JOB_01838,2024-01-02 21:37:00,2024-01-02 22:06:39,1297,1326,1
JOB_00246,2024-01-02 22:02:31,2024-01-02 22:42:15,1322,1362,2
JOB_01547,2024-01-02 22:42:58,2024-01-02 23:20:40,1362,1400,1
JOB_02962,2024-01-02 23:34:52,2024-01-03 00:04:29,1414,4,3
JOB_01387,2024-01-02 23:59:16,2024-01-03 00:20:18,1439,20,1
