job_interval,start_time,end_time,start_minutes,end_minutes,priority,Duration
JOB_03046,2024-01-05 00:41:00,2024-01-05 00:52:09,41,52,2,11
JOB_00557,2024-01-05 00:58:10,2024-01-05 01:21:28,58,81,3,23
JOB_02605,2024-01-05 03:06:51,2024-01-05 03:20:29,186,200,2,14
JOB_02468,2024-01-05 03:27:06,2024-01-05 03:33:44,207,213,3,6
JOB_03184,2024-01-05 03:57:01,2024-01-05 04:05:35,237,245,1,8
JOB_00070,2024-01-05 04:15:49,2024-01-05 04:25:27,255,265,3,10
JOB_01326,2024-01-05 04:29:31,2024-01-05 04:39:27,269,279,2,10
JOB_00637,2024-01-05 05:04:11,2024-01-05 05:11:41,304,311,2,7
JOB_03325,2024-01-05 05:51:16,2024-01-05 06:02:02,351,362,2,11
JOB_03084,2024-01-05 06:31:08,2024-01-05 06:52:14,391,412,2,21
JOB_00145,2024-01-05 06:56:31,2024-01-05 07:17:54,416,437,1,21
JOB_02149,2024-01-05 08:25:19,2024-01-05 08:44:18,505,524,3,19
JOB_03232,2024-01-05 10:04:42,2024-01-05 10:17:24,604,617,2,13
JOB_02552,2024-01-05 10:25:41,2024-01-05 10:31:55,625,631,2,6
JOB_01395,2024-01-05 11:16:45,2024-01-05 11:28:37,676,688,2,12
JOB_01764,2024-01-05 12:45:53,2024-01-05 13:03:54,765,783,2,18
JOB_00352,2024-01-05 13:38:33,2024-01-05 13:54:42,818,834,1,16
JOB_00775,2024-01-05 13:55:37,2024-01-05 14:08:48,835,848,2,13
JOB_02524,2024-01-05 14:34:44,2024-01-05 14:40:02,874,880,2,6
JOB_00448,2024-01-05 15:00:39,2024-01-05 15:14:56,900,914,3,14
JOB_02573,2024-01-05 15:52:00,2024-01-05 16:04:00,952,964,3,12
JOB_02655,2024-01-05 16:18:33,2024-01-05 16:24:47,978,984,3,6
JOB_01690,2024-01-05 16:30:45,2024-01-05 16:43:59,990,1003,1,13
JOB_01179,2024-01-05 16:49:30,2024-01-05 17:10:55,1009,1030,1,21
JOB_02083,2024-01-05 18:00:57,2024-01-05 18:25:02,1080,1105,2,25
JOB_01969,2024-01-05 18:32:42,2024-01-05 18:50:58,1112,1130,2,18
JOB_01759,2024-01-05 18:56:15,2024-01-05 19:11:32,1136,1151,2,15
JOB_02106,2024-01-05 20:21:52,2024-01-05 20:37:24,1221,1237,1,16
JOB_03362,2024-01-05 21:20:00,2024-01-05 21:32:42,1280,1292,2,12
JOB_01169,2024-01-05 22:28:43,2024-01-05 22:55:11,1348,1375,3,27
JOB_00987,2024-01-05 23:15:04,2024-01-05 23:31:56,1395,1411,2,16
