job_interval,start_time,end_time,start_minutes,end_minutes,priority,Duration
JOB_00197,2024-01-01 01:21:11,2024-01-01 01:34:25,81,94,2,13
JOB_01164,2024-01-01 02:33:54,2024-01-01 02:41:55,153,161,3,8
JOB_02169,2024-01-01 03:32:22,2024-01-01 03:38:53,212,218,1,6
JOB_00560,2024-01-01 03:49:17,2024-01-01 04:05:04,229,245,2,16
JOB_00328,2024-01-01 04:47:37,2024-01-01 05:03:40,287,303,2,16
JOB_01232,2024-01-01 05:44:37,2024-01-01 05:48:13,344,348,2,4
JOB_01056,2024-01-01 05:57:09,2024-01-01 06:12:02,357,372,1,15
JOB_02965,2024-01-01 06:37:29,2024-01-01 07:17:34,397,437,3,40
JOB_00454,2024-01-01 07:46:56,2024-01-01 08:17:45,466,497,2,31
JOB_03407,2024-01-01 11:27:56,2024-01-01 12:07:23,687,727,2,40
JOB_00656,2024-01-01 12:08:16,2024-01-01 12:17:26,728,737,2,9
JOB_00734,2024-01-01 13:01:48,2024-01-01 13:11:31,781,791,2,10
JOB_01732,2024-01-01 13:21:31,2024-01-01 13:33:39,801,813,3,12
JOB_03233,2024-01-01 13:59:04,2024-01-01 14:08:41,839,848,2,9
JOB_03255,2024-01-01 14:27:31,2024-01-01 14:49:37,867,889,2,22
JOB_02863,2024-01-01 14:58:31,2024-01-01 15:14:00,898,914,2,16
JOB_00252,2024-01-01 15:48:30,2024-01-01 16:01:35,948,961,2,13
JOB_01796,2024-01-01 16:50:41,2024-01-01 17:05:37,1010,1025,1,15
JOB_00422,2024-01-01 17:12:49,2024-01-01 17:29:18,1032,1049,2,17
JOB_01391,2024-01-01 17:48:52,2024-01-01 18:07:11,1068,1087,2,19
JOB_02813,2024-01-01 20:15:36,2024-01-01 20:26:13,1215,1226,2,11
JOB_00398,2024-01-01 20:27:25,2024-01-01 20:31:49,1227,1231,3,4
JOB_01358,2024-01-01 20:32:43,2024-01-01 20:40:06,1232,1240,2,8
JOB_03307,2024-01-01 20:41:11,2024-01-01 20:53:36,1241,1253,2,12
JOB_00466,2024-01-01 21:08:05,2024-01-01 21:21:06,1268,1281,3,13
JOB_00910,2024-01-01 22:18:42,2024-01-01 22:34:53,1338,1354,1,16
