job_interval,start_time,end_time,start_minutes,end_minutes,priority,Duration
JOB_02427,2024-01-06 01:12:37,2024-01-06 01:20:55,72,80,2,8
JOB_02949,2024-01-06 01:34:35,2024-01-06 01:56:40,94,116,3,22
JOB_00108,2024-01-06 02:15:15,2024-01-06 02:19:43,135,139,2,4
JOB_01911,2024-01-06 02:46:11,2024-01-06 03:09:49,166,189,3,23
JOB_03053,2024-01-06 03:21:07,2024-01-06 03:27:32,201,207,3,6
JOB_01919,2024-01-06 04:22:59,2024-01-06 04:42:55,262,282,1,20
JOB_00351,2024-01-06 04:55:16,2024-01-06 05:09:01,295,309,3,14
JOB_02296,2024-01-06 05:19:28,2024-01-06 05:44:22,319,344,3,25
JOB_03107,2024-01-06 05:59:09,2024-01-06 06:17:48,359,377,3,18
JOB_00206,2024-01-06 06:40:18,2024-01-06 06:45:49,400,405,2,5
JOB_00344,2024-01-06 07:52:27,2024-01-06 08:16:36,472,496,2,24
JOB_03227,2024-01-06 08:25:16,2024-01-06 08:38:26,505,518,1,13
JOB_00256,2024-01-06 08:41:02,2024-01-06 08:54:41,521,534,1,13
JOB_02794,2024-01-06 09:23:49,2024-01-06 09:38:45,563,578,1,15
JOB_01087,2024-01-06 10:21:27,2024-01-06 10:36:58,621,636,1,15
JOB_01677,2024-01-06 11:09:55,2024-01-06 11:38:09,669,698,3,29
JOB_02976,2024-01-06 11:45:20,2024-01-06 12:03:10,705,723,1,18
JOB_03246,2024-01-06 12:09:28,2024-01-06 12:26:33,729,746,2,17
JOB_00292,2024-01-06 12:33:33,2024-01-06 12:44:14,753,764,1,11
JOB_03074,2024-01-06 13:18:10,2024-01-06 13:28:55,798,808,2,10
JOB_02929,2024-01-06 15:00:18,2024-01-06 15:10:22,900,910,2,10
JOB_01943,2024-01-06 15:17:14,2024-01-06 15:32:19,917,932,2,15
JOB_00724,2024-01-06 16:09:47,2024-01-06 16:22:29,969,982,2,13
JOB_02155,2024-01-06 17:17:39,2024-01-06 17:40:43,1037,1060,3,23
JOB_02223,2024-01-06 17:53:09,2024-01-06 18:04:59,1073,1084,3,11
JOB_03453,2024-01-06 18:20:03,2024-01-06 18:35:45,1100,1115,2,15
JOB_01589,2024-01-06 18:52:00,2024-01-06 19:15:12,1132,1155,2,23
JOB_02974,2024-01-06 19:22:04,2024-01-06 19:35:06,1162,1175,2,13
JOB_00717,2024-01-06 20:24:53,2024-01-06 20:54:26,1224,1254,3,30
JOB_02370,2024-01-06 21:59:23,2024-01-06 22:18:02,1319,1338,2,19
JOB_01008,2024-01-06 22:46:35,2024-01-06 23:19:45,1366,1399,1,33
JOB_02399,2024-01-06 23:40:54,2024-01-06 23:53:30,1420,1433,2,13
