job_interval,start_time,end_time,start_minutes,end_minutes,priority,Duration
JOB_03038,2024-01-04 01:26:19,2024-01-04 01:35:21,86,95,2,9
JOB_03229,2024-01-04 01:59:42,2024-01-04 02:14:44,119,134,1,15
JOB_02311,2024-01-04 04:10:27,2024-01-04 04:15:11,250,255,2,5
JOB_01305,2024-01-04 06:32:06,2024-01-04 06:52:57,392,412,2,20
JOB_02806,2024-01-04 07:26:52,2024-01-04 07:35:17,446,455,3,9
JOB_01155,2024-01-04 08:11:04,2024-01-04 08:29:05,491,509,2,18
JOB_02226,2024-01-04 08:55:52,2024-01-04 09:22:34,535,562,1,27
JOB_02802,2024-01-04 09:32:08,2024-01-04 09:51:57,572,591,2,19
JOB_02812,2024-01-04 09:53:13,2024-01-04 10:11:24,593,611,1,18
JOB_01918,2024-01-04 10:11:00,2024-01-04 10:12:33,611,612,2,1
JOB_02035,2024-01-04 10:29:37,2024-01-04 10:40:35,629,640,2,11
JOB_02123,2024-01-04 11:45:06,2024-01-04 11:52:52,705,712,3,7
JOB_00512,2024-01-04 12:42:33,2024-01-04 12:57:27,762,777,2,15
JOB_02606,2024-01-04 13:03:51,2024-01-04 13:10:35,783,790,1,7
JOB_01952,2024-01-04 13:33:02,2024-01-04 13:45:21,813,825,1,12
JOB_01418,2024-01-04 14:10:15,2024-01-04 14:22:16,850,862,3,12
JOB_03133,2024-01-04 14:28:23,2024-01-04 14:59:39,868,899,2,31
JOB_01108,2024-01-04 15:09:12,2024-01-04 15:18:31,909,918,2,9
JOB_00482,2024-01-04 15:18:03,2024-01-04 15:44:40,918,944,2,26
JOB_00800,2024-01-04 16:04:31,2024-01-04 16:40:43,964,1000,2,36
JOB_00849,2024-01-04 17:49:37,2024-01-04 17:56:38,1069,1076,3,7
JOB_02465,2024-01-04 18:08:20,2024-01-04 18:27:45,1088,1107,1,19
JOB_02231,2024-01-04 19:33:24,2024-01-04 19:49:18,1173,1189,1,16
JOB_02741,2024-01-04 20:00:33,2024-01-04 20:07:04,1200,1207,2,7
JOB_01822,2024-01-04 20:25:21,2024-01-04 20:56:27,1225,1256,3,31
JOB_03318,2024-01-04 21:00:57,2024-01-04 21:16:46,1260,1276,2,16
JOB_01600,2024-01-04 22:47:24,2024-01-04 23:27:23,1367,1407,3,40
JOB_01259,2024-01-04 23:28:47,2024-01-04 23:52:56,1408,1432,2,24
