job_interval,start_time,end_time,start_minutes,end_minutes,priority,Duration
JOB_01973,2024-01-07 00:02:17,2024-01-07 00:10:27,2,10,3,8
JOB_00114,2024-01-07 00:40:20,2024-01-07 00:50:20,40,50,2,10
JOB_03035,2024-01-07 03:03:40,2024-01-07 03:19:24,183,199,3,16
JOB_00258,2024-01-07 03:20:49,2024-01-07 03:27:33,200,207,2,7
JOB_02198,2024-01-07 03:43:00,2024-01-07 03:51:31,223,231,2,8
JOB_02181,2024-01-07 03:56:40,2024-01-07 04:04:41,236,244,1,8
JOB_00364,2024-01-07 04:34:27,2024-01-07 04:59:46,274,299,3,25
JOB_01904,2024-01-07 05:13:46,2024-01-07 05:20:37,313,320,2,7
JOB_01307,2024-01-07 05:30:30,2024-01-07 05:42:20,330,342,2,12
JOB_00798,2024-01-07 06:02:13,2024-01-07 06:17:18,362,377,3,15
JOB_00410,2024-01-07 06:24:09,2024-01-07 06:41:14,384,401,2,17
JOB_00855,2024-01-07 06:43:52,2024-01-07 07:01:14,403,421,2,18
JOB_03524,2024-01-07 07:11:57,2024-01-07 07:37:12,431,457,3,26
JOB_00527,2024-01-07 07:43:53,2024-01-07 07:57:31,463,477,1,14
JOB_01738,2024-01-07 08:09:52,2024-01-07 08:21:47,489,501,3,12
JOB_00571,2024-01-07 08:52:31,2024-01-07 09:22:20,532,562,2,30
JOB_00261,2024-01-07 10:54:02,2024-01-07 11:09:21,654,669,1,15
JOB_01070,2024-01-07 11:35:19,2024-01-07 11:57:23,695,717,2,22
JOB_01086,2024-01-07 12:08:01,2024-01-07 12:12:56,728,732,2,4
JOB_01819,2024-01-07 13:31:33,2024-01-07 13:39:30,811,819,2,8
JOB_00397,2024-01-07 14:31:29,2024-01-07 14:43:29,871,883,3,12
JOB_00641,2024-01-07 15:07:40,2024-01-07 15:22:35,907,922,3,15
JOB_02969,2024-01-07 15:36:33,2024-01-07 16:05:34,936,965,2,29
JOB_00403,2024-01-07 16:11:47,2024-01-07 16:22:24,971,982,3,11
JOB_02580,2024-01-07 16:41:44,2024-01-07 17:01:41,1001,1021,2,20
JOB_02409,2024-01-07 17:07:48,2024-01-07 17:25:31,1027,1045,1,18
JOB_01364,2024-01-07 17:29:49,2024-01-07 17:42:50,1049,1062,2,13
JOB_02359,2024-01-07 17:48:32,2024-01-07 18:01:20,1068,1081,3,13
JOB_02413,2024-01-07 18:08:42,2024-01-07 18:15:50,1088,1095,2,7
JOB_03230,2024-01-07 18:26:10,2024-01-07 18:54:55,1106,1134,2,28
JOB_01286,2024-01-07 19:29:19,2024-01-07 19:40:20,1169,1180,3,11
JOB_02297,2024-01-07 19:59:21,2024-01-07 20:17:55,1199,1217,3,18
JOB_01447,2024-01-07 20:36:59,2024-01-07 20:44:21,1236,1244,3,8
JOB_00308,2024-01-07 20:44:15,2024-01-07 21:09:14,1244,1269,3,25
JOB_00837,2024-01-07 22:03:37,2024-01-07 22:19:25,1323,1339,3,16
JOB_01861,2024-01-07 22:59:53,2024-01-07 23:13:47,1379,1393,1,14
